unique_id	str_order	occ_cur	T_mean_sum	T_inertia	featureid
0	1	0.997614403	12.16177859	284.3391	201473434
1	1	0.997614403	12.16177859	284.3391	201473434
2	1	0.993610166	14.59571934	204.6354514	201473435
3	1	0.993610166	14.59571934	204.6354514	201473435
4	1	0.993523632	12.0027923	331.2394992	201473448
6	2	0.994290417	14.26720629	187.4963072	201473449
5	2	0.991769576	14.7603246	178.9510678	201473554
7	1	0.995044662	13.90851921	222.732261	201473555
8	2	0.993192742	14.21442581	226.6188562	201473682
9	1	0.974407003	16.40505603	173.5706554	201473683
12	2	0.995349312	12.04280316	348.4155772	201473794
14	1	0.995349312	12.04280316	348.4155772	201473794
10	2	0.995349312	12.04280316	348.4155772	201473794
11	2	0.995349312	12.04280316	348.4155772	201473794
15	1	0.995349312	12.04280316	348.4155772	201473794
13	2	0.995349312	12.04280316	348.4155772	201473794
16	1	0.994800515	12.80508219	306.5812869	201473795
17	1	0.983547466	15.7028441	183.7135306	201473806
21	2	0.987105584	14.36621971	205.6336614	201473815
19	2	0.987105584	14.36621971	205.6336614	201473815
18	1	0.994227954	13.13509991	261.4695618	201473826
22	1	0.962956661	12.64404325	341.3621635	201473846
23	1	0.962956661	12.64404325	341.3621635	201473846
24	1	0.992330826	12.58618797	296.7619739	201473847
25	1	0.992330826	12.58618797	296.7619739	201473847
28	2	0.992906181	13.72023506	268.9826392	201473895
27	2	0.992906181	13.72023506	268.9826392	201473895
26	2	0.992906181	13.72023506	268.9826392	201473895
31	1	0.98702659	12.84652429	330.8986428	201473896
30	1	0.98702659	12.84652429	330.8986428	201473896
29	2	0.98702659	12.84652429	330.8986428	201473896
36	2	0.988919228	13.75396084	270.8159058	201474006
37	2	0.988919228	13.75396084	270.8159058	201474006
35	3	0.988919228	13.75396084	270.8159058	201474006
34	3	0.988919228	13.75396084	270.8159058	201474006
33	1	0.988919228	13.75396084	270.8159058	201474006
32	1	0.988919228	13.75396084	270.8159058	201474006
20	2	0.988919228	13.75396084	270.8159058	201474006
39	3	0.993339833	13.03899501	323.4433024	201474007
38	4	0.989687252	13.38491438	295.6524572	201474093
42	1	0.949897857	16.56360513	173.0138073	201474113
41	2	0.971048289	13.99058206	277.6395515	201474114
43	1	0.938365625	15.04108794	183.465306	201474132
44	1	0.938365625	15.04108794	183.465306	201474132
40	2	0.938365625	15.04108794	183.465306	201474132
47	1	0.35245095	17.50517072	188.001789	201474168
46	2	0.947601194	14.17172502	269.5460885	201474169
48	1	0.947601194	14.17172502	269.5460885	201474169
